Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales
Office Supplies,Houston,United States,Darren Powers,Message Book,04-01-2011,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,08-01-2011,Standard Class,Texas,Paper,20%,1,$6 ,34%,2,$16 
Office Supplies,Naperville,United States,Phillina Ober,GBC,05-01-2011,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,09-01-2011,Standard Class,Illinois,Binders,80%,1,($5),-155%,2,$4 
Office Supplies,Naperville,United States,Phillina Ober,Avery,05-01-2011,CA-2011-112326,60540,Avery 508,Central,Home Office,09-01-2011,Standard Class,Illinois,Labels,20%,1,$4 ,36%,3,$12 
Office Supplies,Naperville,United States,Phillina Ober,SAFCO,05-01-2011,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,09-01-2011,Standard Class,Illinois,Storage,20%,1,($65),-24%,3,$273 
Office Supplies,Philadelphia,United States,Mick Brown,Avery,06-01-2011,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,13-01-2011,Standard Class,Pennsylvania,Art,20%,1,$5 ,25%,3,$20 
Office Supplies,Athens,United States,Jack O'Briant,Dixon,07-01-2011,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,08-01-2011,First Class,Georgia,Art,0%,1,$5 ,41%,3,$13 
Office Supplies,Los Angeles,United States,Lycoris Saunders,Xerox,07-01-2011,CA-2011-130813,90049,Xerox 225,West,Consumer,09-01-2011,Second Class,California,Paper,0%,1,$9 ,48%,3,$19 
Furniture,Henderson,United States,Maria Etezadi,Global,07-01-2011,CA-2011-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,11-01-2011,Standard Class,Kentucky,Chairs,0%,1,$746 ,29%,9,"$2,574 "
Office Supplies,Henderson,United States,Maria Etezadi,Rogers,07-01-2011,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,11-01-2011,Standard Class,Kentucky,Art,0%,1,$1 ,27%,2,$5 
Office Supplies,Henderson,United States,Maria Etezadi,Ibico,07-01-2011,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,11-01-2011,Standard Class,Kentucky,Binders,0%,1,$274 ,45%,2,$610 
Office Supplies,Henderson,United States,Maria Etezadi,Alliance,07-01-2011,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,11-01-2011,Standard Class,Kentucky,Fasteners,0%,1,$0 ,1%,4,$31 
Office Supplies,Henderson,United States,Maria Etezadi,Southworth,07-01-2011,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,11-01-2011,Standard Class,Kentucky,Paper,0%,1,$3 ,46%,1,$7 
Technology,Henderson,United States,Maria Etezadi,GE,07-01-2011,CA-2011-167199,42420,GE 30524EE4,South,Home Office,11-01-2011,Standard Class,Kentucky,Phones,0%,1,$114 ,29%,2,$392 
Technology,Henderson,United States,Maria Etezadi,Other,07-01-2011,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,11-01-2011,Standard Class,Kentucky,Phones,0%,1,$204 ,27%,4,$756 
Furniture,Huntsville,United States,Vivek Sundaresam,Howard Miller,08-01-2011,CA-2011-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,13-01-2011,Standard Class,Texas,Furnishings,60%,1,($54),-70%,3,$77 
Office Supplies,Huntsville,United States,Vivek Sundaresam,Acco,08-01-2011,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,13-01-2011,Standard Class,Texas,Binders,80%,1,($18),-175%,7,$10 
Office Supplies,Laredo,United States,Melanie Seite,Newell,10-01-2011,CA-2011-135405,78041,Newell 312,Central,Consumer,14-01-2011,Standard Class,Texas,Art,20%,1,$1 ,13%,2,$9 
Technology,Laredo,United States,Melanie Seite,Memorex,10-01-2011,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,14-01-2011,Standard Class,Texas,Accessories,20%,1,$10 ,31%,3,$31 
Furniture,Springfield,United States,Anthony Jacobs,Howard Miller,11-01-2011,CA-2011-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,16-01-2011,Standard Class,Virginia,Furnishings,0%,1,$21 ,41%,1,$52 
Office Supplies,Springfield,United States,Anthony Jacobs,Avery,11-01-2011,CA-2011-149020,22153,Avery 482,South,Corporate,16-01-2011,Standard Class,Virginia,Labels,0%,1,$1 ,47%,1,$3 
Furniture,Dover,United States,Seth Vernon,DAX,12-01-2011,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,15-01-2011,First Class,Delaware,Furnishings,0%,1,$3 ,31%,2,$10 
Office Supplies,Bossier City,United States,Chris Selesnick,Other,14-01-2011,CA-2011-162775,71111,Staples,South,Corporate,16-01-2011,Second Class,Louisiana,Binders,0%,1,$3 ,48%,3,$6 
Office Supplies,Bossier City,United States,Chris Selesnick,Other,14-01-2011,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,16-01-2011,Second Class,Louisiana,Envelopes,0%,1,$25 ,50%,3,$51 
Office Supplies,Bossier City,United States,Chris Selesnick,Other,14-01-2011,CA-2011-162775,71111,Staples,South,Corporate,16-01-2011,Second Class,Louisiana,Envelopes,0%,1,$5 ,47%,2,$11 
Office Supplies,Bossier City,United States,Chris Selesnick,Fellowes,14-01-2011,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,16-01-2011,Second Class,Louisiana,Storage,0%,1,$34 ,6%,6,$573 
Technology,Bossier City,United States,Chris Selesnick,Plantronics,14-01-2011,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,16-01-2011,Second Class,Louisiana,Accessories,0%,1,$259 ,40%,6,$647 
Furniture,Mount Pleasant,United States,Natalie DeCherney,Global,14-01-2011,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,17-01-2011,Second Class,South Carolina,Chairs,0%,1,$87 ,16%,6,$546 
Furniture,San Francisco,United States,Brian Dahlen,O'Sullivan,14-01-2011,CA-2011-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,19-01-2011,Standard Class,California,Bookcases,15%,1,$4 ,1%,3,$334 
Office Supplies,Newark,United States,Michael Moore,Avery,14-01-2011,CA-2011-118192,43055,Avery Metallic Poly Binders,East,Consumer,19-01-2011,Standard Class,Ohio,Binders,70%,1,($3),-73%,2,$3 
Office Supplies,Newark,United States,Michael Moore,Xerox,14-01-2011,CA-2011-118192,43055,Xerox 1923,East,Consumer,19-01-2011,Standard Class,Ohio,Paper,20%,1,$13 ,35%,7,$37 
Office Supplies,San Francisco,United States,Brian Dahlen,Other,14-01-2011,CA-2011-157147,94109,4009 Highlighters by Sanford,West,Consumer,19-01-2011,Standard Class,California,Art,0%,1,$7 ,33%,5,$20 
Office Supplies,San Francisco,United States,Brian Dahlen,Tennsco,14-01-2011,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,19-01-2011,Standard Class,California,Storage,0%,1,$239 ,18%,5,"$1,326 "
Furniture,Philadelphia,United States,Brendan Sweed,Sauder,15-01-2011,CA-2011-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,16-01-2011,First Class,Pennsylvania,Bookcases,50%,1,($53),-86%,4,$62 
Technology,Roswell,United States,Erica Hackney,Logitech,16-01-2011,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,18-01-2011,First Class,Georgia,Accessories,0%,1,$66 ,44%,5,$150 
Furniture,Philadelphia,United States,Delfina Latchford,DAX,17-01-2011,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,19-01-2011,Second Class,Pennsylvania,Furnishings,20%,1,$29 ,23%,6,$127 
Office Supplies,Philadelphia,United States,Delfina Latchford,GBC,17-01-2011,CA-2011-115791,19134,GBC Linen Binding Covers,East,Consumer,19-01-2011,Second Class,Pennsylvania,Binders,70%,1,($14),-73%,2,$19 
Office Supplies,Philadelphia,United States,Delfina Latchford,Other,17-01-2011,CA-2011-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,19-01-2011,Second Class,Pennsylvania,Labels,20%,1,$10 ,34%,3,$30 
Technology,Philadelphia,United States,Delfina Latchford,AT&T,17-01-2011,CA-2011-115791,19134,AT&T 841000 Phone,East,Consumer,19-01-2011,Second Class,Pennsylvania,Phones,40%,1,($31),-25%,3,$124 
Office Supplies,Springfield,United States,David Wiener,Fellowes,19-01-2011,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,22-01-2011,Second Class,Oregon,Appliances,20%,1,$6 ,10%,4,$65 
Furniture,Scottsdale,United States,Toby Swindell,O'Sullivan,20-01-2011,CA-2011-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,21-01-2011,First Class,Arizona,Bookcases,70%,1,($321),-177%,5,$181 
Office Supplies,Scottsdale,United States,Toby Swindell,GBC,20-01-2011,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,21-01-2011,First Class,Arizona,Binders,70%,1,($24),-73%,10,$32 
Office Supplies,Scottsdale,United States,Toby Swindell,Tyvek,20-01-2011,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,21-01-2011,First Class,Arizona,Envelopes,20%,1,$37 ,34%,5,$109 
Office Supplies,Scottsdale,United States,Toby Swindell,TOPS,20-01-2011,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,21-01-2011,First Class,Arizona,Paper,20%,1,$20 ,35%,4,$56 
Furniture,Los Angeles,United States,Mark Van Huff,Eldon,21-01-2011,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,26-01-2011,Standard Class,California,Furnishings,0%,1,$6 ,30%,2,$19 
Office Supplies,Los Angeles,United States,Mark Van Huff,Wirebound,21-01-2011,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,26-01-2011,Standard Class,California,Paper,0%,1,$9 ,48%,2,$19 
Furniture,Westland,United States,Xylona Preis,Eldon,21-01-2011,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,27-01-2011,Standard Class,Michigan,Furnishings,0%,1,$30 ,11%,3,$273 
Furniture,Westland,United States,Xylona Preis,Ultra,21-01-2011,CA-2011-167927,48185,Ultra Door Push Plate,Central,Consumer,27-01-2011,Standard Class,Michigan,Furnishings,0%,1,$5 ,33%,3,$15 
Furniture,Jonesboro,United States,Hunter Lopez,Hon,21-01-2011,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,27-01-2011,Standard Class,Arkansas,Chairs,0%,1,$224 ,21%,3,"$1,068 "
Furniture,Jonesboro,United States,Hunter Lopez,Eldon,21-01-2011,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,27-01-2011,Standard Class,Arkansas,Furnishings,0%,1,$12 ,30%,4,$39 
Office Supplies,Westland,United States,Xylona Preis,Holmes,21-01-2011,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,27-01-2011,Standard Class,Michigan,Appliances,10%,1,$94 ,38%,4,$248 
Office Supplies,Westland,United States,Xylona Preis,Panasonic,21-01-2011,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,27-01-2011,Standard Class,Michigan,Art,0%,1,$13 ,29%,3,$44 
Office Supplies,Westland,United States,Xylona Preis,Acco,21-01-2011,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,27-01-2011,Standard Class,Michigan,Binders,0%,1,$9 ,47%,5,$19 
Office Supplies,Westland,United States,Xylona Preis,Storex,21-01-2011,CA-2011-167927,48185,Storex Dura Pro Binders,Central,Consumer,27-01-2011,Standard Class,Michigan,Binders,0%,1,$13 ,45%,5,$30 
Office Supplies,Westland,United States,Xylona Preis,Eldon,21-01-2011,CA-2011-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,27-01-2011,Standard Class,Michigan,Storage,0%,1,$4 ,29%,1,$14 
Office Supplies,Westland,United States,Xylona Preis,Fellowes,21-01-2011,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,27-01-2011,Standard Class,Michigan,Storage,0%,1,$16 ,24%,2,$67 
Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,21-01-2011,US-2011-147627,72401,Newell 327,South,Consumer,27-01-2011,Standard Class,Arkansas,Art,0%,1,$2 ,27%,3,$7 
Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,21-01-2011,US-2011-147627,72401,Newell 351,South,Consumer,27-01-2011,Standard Class,Arkansas,Art,0%,1,$7 ,29%,7,$23 
Office Supplies,Jonesboro,United States,Hunter Lopez,Other,21-01-2011,US-2011-147627,72401,Staples,South,Consumer,27-01-2011,Standard Class,Arkansas,Envelopes,0%,1,$11 ,47%,3,$23 
Office Supplies,Smyrna,United States,Muhammed MacIntyre,GBC,21-01-2011,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,27-01-2011,Standard Class,Tennessee,Binders,70%,1,($52),-77%,1,$67 
Technology,Jonesboro,United States,Hunter Lopez,Apple,21-01-2011,US-2011-147627,72401,Apple iPhone 5C,South,Consumer,27-01-2011,Standard Class,Arkansas,Phones,0%,1,$182 ,26%,7,$700 
Furniture,Miami,United States,Tom Boeckenhauer,Ultra,22-01-2011,CA-2011-110422,33180,Ultra Door Pull Handle,South,Consumer,24-01-2011,Second Class,Florida,Furnishings,20%,1,$4 ,16%,3,$25 
Office Supplies,Lafayette,United States,Speros Goranitis,Alliance,24-01-2011,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,28-01-2011,Standard Class,Indiana,Fasteners,0%,1,$0 ,0%,3,$6 
Office Supplies,Las Vegas,United States,Ionia McGrath,Xerox,24-01-2011,CA-2011-102645,89115,Xerox 195,West,Consumer,29-01-2011,Standard Class,Nevada,Paper,0%,1,$19 ,48%,6,$40 
Furniture,Rapid City,United States,Carol Adams,SAFCO,27-01-2011,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,30-01-2011,First Class,South Dakota,Bookcases,0%,1,$40 ,28%,2,$142 
Office Supplies,Rapid City,United States,Carol Adams,Wilson Jones,27-01-2011,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,30-01-2011,First Class,South Dakota,Binders,0%,1,$5 ,47%,2,$11 
Furniture,Alexandria,United States,Shirley Daniels,Eldon,27-01-2011,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,01-02-2011,Standard Class,Virginia,Furnishings,0%,1,$4 ,36%,3,$12 
Furniture,Alexandria,United States,Shirley Daniels,GE,27-01-2011,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,01-02-2011,Standard Class,Virginia,Furnishings,0%,1,$31 ,49%,3,$63 
Office Supplies,Alexandria,United States,Shirley Daniels,Eureka,27-01-2011,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,01-02-2011,Standard Class,Virginia,Paper,0%,1,$9 ,48%,3,$19 
Office Supplies,Alexandria,United States,Shirley Daniels,REDIFORM,27-01-2011,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,01-02-2011,Standard Class,Virginia,Paper,0%,1,$8 ,50%,2,$17 
Office Supplies,Alexandria,United States,Shirley Daniels,SAFCO,27-01-2011,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,01-02-2011,Standard Class,Virginia,Storage,0%,1,$0 ,0%,8,$490 
Technology,Alexandria,United States,Shirley Daniels,Jabra,27-01-2011,US-2011-155502,22304,Jabra SPEAK 410,South,Home Office,01-02-2011,Standard Class,Virginia,Phones,0%,1,$53 ,28%,2,$188 
Technology,Alexandria,United States,Shirley Daniels,Other,27-01-2011,US-2011-155502,22304,Macally Suction Cup Mount,South,Home Office,01-02-2011,Standard Class,Virginia,Phones,0%,1,$0 ,0%,13,$155 
Furniture,San Diego,United States,Ed Jacobs,Balt,28-01-2011,US-2011-117163,92037,Balt Split Level Computer Training Table,West,Consumer,03-02-2011,Standard Class,California,Tables,20%,1,($17),-5%,3,$333 
Office Supplies,San Diego,United States,Ed Jacobs,Dixon,28-01-2011,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,03-02-2011,Standard Class,California,Art,0%,1,$12 ,33%,4,$36 
Office Supplies,San Diego,United States,Ed Jacobs,Other,28-01-2011,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,West,Consumer,03-02-2011,Standard Class,California,Storage,0%,1,$14 ,25%,1,$57 
Office Supplies,New York City,United States,Jasper Cacioppo,Pressboard,29-01-2011,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,04-02-2011,Standard Class,New York,Binders,20%,1,$1 ,34%,1,$4 
Office Supplies,Detroit,United States,Mike Vittorini,Xerox,31-01-2011,CA-2011-134103,48234,Xerox 1972,Central,Consumer,05-02-2011,Standard Class,Michigan,Paper,0%,1,$5 ,45%,2,$11 
Office Supplies,Detroit,United States,Mike Vittorini,Space Solutions,31-01-2011,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,05-02-2011,Standard Class,Michigan,Storage,0%,1,$7 ,3%,2,$230 
Furniture,Mission Viejo,United States,Liz Carlisle,Sauder,01-02-2011,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,03-02-2011,First Class,California,Bookcases,15%,1,$3 ,1%,2,$291 
Technology,Green Bay,United States,Bradley Drucker,Enermax,02-02-2011,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,04-02-2011,First Class,Wisconsin,Accessories,0%,1,$206 ,44%,6,$469 
Office Supplies,San Diego,United States,Cynthia Delaney,Other,03-02-2011,CA-2011-139857,92037,Staples,West,Home Office,07-02-2011,Standard Class,California,Fasteners,0%,1,$6 ,47%,5,$12 
Office Supplies,Saint Petersburg,United States,Eric Barreto,Other,03-02-2011,CA-2011-123400,33710,Surelock Post Binders,South,Consumer,10-02-2011,Standard Class,Florida,Binders,70%,1,($12),-67%,2,$18 
Technology,Saint Petersburg,United States,Eric Barreto,AT&T,03-02-2011,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,South,Consumer,10-02-2011,Standard Class,Florida,Phones,20%,1,$14 ,8%,5,$181 
Office Supplies,Seattle,United States,Tom Boeckenhauer,Avery,04-02-2011,CA-2011-111059,98105,Avery Durable Poly Binders,West,Consumer,07-02-2011,Second Class,Washington,Binders,20%,1,$4 ,33%,3,$13 
Office Supplies,Seattle,United States,Tom Boeckenhauer,Ibico,04-02-2011,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,West,Consumer,07-02-2011,Second Class,Washington,Binders,20%,1,$27 ,33%,2,$84 
Office Supplies,Escondido,United States,Mark Haberlin,GBC,05-02-2011,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,09-02-2011,Second Class,California,Binders,20%,1,$6 ,35%,2,$17 
Office Supplies,San Diego,United States,Deborah Brumfield,GBC,05-02-2011,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,09-02-2011,Standard Class,California,Binders,20%,1,$29 ,35%,3,$83 
